passportfrom_country_name,passportfrom_destinations_visafree,gain-loss,averageGDPPerCountry,averageGDP,averagePopulationPerCountry,averagePopulation,averageSurfacePerCountry,averageSurface,averageUnescoSitesPerCountry,averageUnescoSites
Ethiopia,43,-2,51,171,20,21,258,364,2,3
Iran (Islamic Republic of),43,2,64,171,15,21,270,364,3,3
Korea (Democratic People's Republic of),43,-5,32,171,19,21,261,364,2,3
Libya,42,10,60,171,21,21,374,364,3,3
Lebanon,42,7,79,171,19,21,268,364,3,3
South Sudan,42,-3,45,171,15,21,275,364,2,3
Bangladesh,42,-7,36,171,17,21,183,364,1,3
Nepal,41,43,121,171,63,21,354,364,3,3
Sudan,40,1,39,171,18,21,237,364,2,3
"Palestine, State of",40,4,73,171,20,21,259,364,2,3
Eritrea,39,1,42,171,18,21,241,364,2,3
Yemen,38,-1,24,171,12,21,203,364,2,3
Pakistan,34,-1,22,171,15,21,217,364,1,3
Syrian Arab Republic,33,2,37,171,14,21,260,364,2,3
Somalia,33,-1,27,171,13,21,180,364,1,3
Iraq,31,1,29,171,11,21,217,364,1,3
Afghanistan,31,-1,14,171,13,21,189,364,1,3
