passportfrom_country_name,passportfrom_alpha_3code,New_Overall_ranking,gain-loss,gain-loss-rank,passportfrom_destinations_visafree,passportfrom_welcomed_visafree,visaFreeRatio,visafree_percent,visafree_countries_Rank,countryto_GDP_2016_billions_USD,countryto_UN_World_GDP_percent,GDP_Rank,countryto_surface_area,countryto_Surface_area_covered_percent,Surface_Rank,countryto_population_millions,countryto_UN_population_Value_percent,Population_Rank,countryto_unesco_total_sites,countryto_unesco_total_sites_percent,unesco_total_sites_Rank,passportfrom_region_name,passportfrom_sub_region_name,passportfrom_development_status,passportfrom_GDP_2016_billions_USD,passportfrom_GDP_capita_2016_USD,passportfrom_UN_World_GDP_percent,passportfrom_population_millions,passportfrom_UN_population_Value_percent,passportfrom_surface_area,passportfrom_Surface_area_covered_percent,passportfrom_unesco_total_sites,passportfrom_unesco_total_sites_percent,passportfrom_trade_import_UN,passportfrom_trade_export_UN,passportfrom_openness_index,passportfrom_unemployment_rate_UN,passportfrom_visitor_arrivals,passportfrom_tourism_expenditure
Cabo Verde,CPV,130,0,78,66.0,198.0,0.3,0.2907488986784141,130,4504.471000000001,0.0595444600704402,137,20562.0,0.15101129536875196,125,1581.52,0.20719996017199407,118,177.0,0.1516709511568123,134,Africa,Sub-Saharan Africa,Developing,1.639,3038.0,2.166588930319486e-05,0.55,7.205724751795537e-05,4.0,2.9376771786548375e-05,1.0,0.000856898029134533,672.0,60.0,446.6137888956681,10.7,336.0,402.0
Uganda,UGA,164,-31,198,65.0,198.0,0.3,0.28634361233480177,133,3455.9559999999997,0.04568417335735944,163,14742.0,0.10826809241932406,168,1179.1599999999996,0.15448549815140405,165,134.0,0.11482433590402742,171,Africa,Sub-Saharan Africa,Least Developed,25.308,610.0,0.000334545653743292,44.27,0.00579995335930888,242.0,0.0017772946930861768,3.0,0.002570694087403599,4829.0,2482.0,288.88098624940733,4.0,946.0,
Zimbabwe,ZWE,139,-6,141,65.0,145.0,0.4,0.28634361233480177,133,3985.76,0.05268763572245393,143,19340.0,0.14203669158796142,133,1317.2499999999998,0.17257710780550306,148,157.0,0.13453299057412166,143,Africa,Sub-Saharan Africa,Developing,16.124,998.0,0.0002131426474220341,16.91,0.0022154328282338637,391.0,0.0028715794421351037,5.0,0.004284490145672665,5212.0,2832.0,498.88365169933024,5.3,2239.0,194.0
Kyrgyzstan,KGZ,119,14,17,65.0,82.0,0.8,0.28634361233480177,133,5647.571000000002,0.0746550629151516,129,36681.0,0.26939234147559526,97,1536.2199999999996,0.20126506324006063,124,232.0,0.19880034275921168,117,Asia,Central Asia,Developing,6.551,1100.0,8.659746237048781e-05,6.13,0.0008031107768819388,200.0,0.0014688385893274188,3.0,0.002570694087403599,3844.0,1423.0,803.9993894061975,8.6,855.0,477.0
Ghana,GHA,151,-15,178,64.0,55.0,1.2,0.28193832599118945,136,3353.8729999999996,0.044334741400228236,165,17037.0,0.12512301523185618,148,1374.4699999999996,0.18007368181091654,141,143.0,0.12253641816623823,158,Africa,Sub-Saharan Africa,Developing,42.794,1517.0,0.0005656925362055649,29.46,0.0038596482034162997,239.0,0.0017552621142462655,2.0,0.001713796058269066,11361.0,10656.0,514.4880123381782,5.3,931.0,952.0
Sierra Leone,SLE,171,-34,199,63.0,18.0,3.5,0.2775330396475771,137,2281.530999999999,0.030159486325690953,180,13728.0,0.10082108077143402,176,971.2099999999998,0.1272413079307517,176,118.0,0.10111396743787489,181,Africa,Sub-Saharan Africa,Least Developed,3.675,497.0,4.8579709084344786e-05,7.72,0.0010114217287974824,72.0,0.0005287818921578708,,,958.0,466.0,387.4829931972789,4.3,39.0,
Morocco,MAR,124,14,17,62.0,72.0,0.9,0.27312775330396477,138,7438.991000000001,0.09833578739076437,121,28182.0,0.2069740456221265,117,1468.37,0.19237581915989108,129,226.0,0.1936589545844045,120,Africa,Northern Africa,Developing,103.607,2937.0,0.00136957766506169,36.19,0.004741366886681462,447.0,0.003282854247146781,9.0,0.007712082262210797,41696.0,22858.0,623.0660090534424,9.1,9288.0,7921.0
Mongolia,MNG,112,26,9,62.0,22.0,2.8,0.27312775330396477,138,9630.911000000002,0.12731070873393635,115,47231.0,0.3468735770626165,86,1734.4899999999993,0.22724104590439706,113,262.0,0.2245072836332476,111,Asia,Eastern Asia,Developing,11.16,3686.0,0.00014752368799490827,3.12,0.00040876111319276495,1564.0,0.011486317768540415,5.0,0.004284490145672665,3340.0,4916.0,739.7849462365591,6.6,456.0,379.0
India,IND,125,13,21,62.0,5.0,12.4,0.27312775330396477,138,5206.157000000002,0.06882002517208846,134,18370.0,0.13491282442972344,140,2446.68,0.32054732064951097,83,198.0,0.16966580976863757,131,Asia,Southern Asia,Developing,2259.642,1706.0,0.029870136325106673,1354.05,0.17739839273034083,3287.0,0.02414036221559613,37.0,0.031705227077977724,356705.0,260327.0,273.06626447906353,3.5,5776.0,23111.0
Benin,BEN,134,4,53,62.0,199.0,0.3,0.27312775330396477,138,4365.279000000001,0.05770448541278901,138,20351.0,0.1494616706570115,126,1538.4900000000002,0.20156246315254384,123,173.0,0.14824335904027416,135,Africa,Sub-Saharan Africa,Least Developed,8.894,818.0,0.00011756950546834356,11.49,0.0015053414072387402,115.0,0.0008445821888632658,2.0,0.001713796058269066,2630.0,410.0,341.80346300876994,1.0,199.0,
